Employee Name,Client,Project,Service,Start Date,End Date,Start Time,End Time,Number of hours,Amount
Alexis Joseph,Kentik,Kentik-Design System Application,Design System Application,4/27/26,4/27/26,9:00:00 AM,1:00:00 PM,4,800
Alexis Joseph,Pt. Reyes Building Supply,Pt. Reyes Building Supply-Visual Brand Identity,Visual Brand Identity,4/27/26,4/27/26,1:00:00 PM,5:00:00 PM,4,800
Ali Lawrence,UC Merced,UC Merced-Facilitation,Facilitation,4/27/26,4/27/26,9:00:00 AM,1:00:00 PM,4,800
Ariana Wolf,Circus Bella,Circus Bella-Website Design,Website Design,4/27/26,4/27/26,9:00:00 AM,1:00:00 PM,4,1000
Ariana Wolf,Zelma Rose,Zelma Rose-Website Design,Website Design,4/27/26,4/27/26,1:00:00 PM,5:00:00 PM,4,1000
Brittany Luby,Apple Education,Apple Education-Website Design,Website Design,4/27/26,4/27/26,9:00:00 AM,1:00:00 PM,4,600
Brittany Luby,UC Berkeley,UC Berkeley-Website Design,Website Design,4/27/26,4/27/26,1:00:00 PM,5:00:00 PM,4,600
Eliza Auseillo,Circus Bella,Circus Bella-Brand Guidelines,Brand Guidelines,4/27/26,4/27/26,9:00:00 AM,1:00:00 PM,4,400
Eliza Auseillo,Circus Bella,Circus Bella-Website Design,Website Design,4/27/26,4/27/26,1:00:00 PM,5:00:00 PM,4,400
Katrina McHugh,Bash Please,Bash Please-Visual Brand Identity,Visual Brand Identity,4/27/26,4/27/26,9:00:00 AM,1:00:00 PM,4,700
Katrina McHugh,UC Merced,UC Merced-Visual Brand Identity,Visual Brand Identity,4/27/26,4/27/26,1:00:00 PM,5:00:00 PM,4,700
Matt Meickle,Kentik,Kentik-Design System Application,Design System Application,4/27/26,4/27/26,9:00:00 AM,1:00:00 PM,4,700
Matt Meickle,Alameda Health System,Alameda Health System-Visual Brand Identity,Visual Brand Identity,4/27/26,4/27/26,1:00:00 PM,5:00:00 PM,4,700
Priscilla Vega,A5 Meat,A5 Meat-Marketing Assets,Marketing Assets,4/27/26,4/27/26,9:00:00 AM,1:00:00 PM,4,600
Priscilla Vega,UC Berkeley,UC Berkeley-Website Design,Website Design,4/27/26,4/27/26,1:00:00 PM,5:00:00 PM,4,600
Alexis Joseph,Kentik,Kentik-Design System Application,Design System Application,4/28/26,4/28/26,9:00:00 AM,1:00:00 PM,4,800
Alexis Joseph,A5 Meat,A5 Meat-Marketing Assets,Marketing Assets,4/28/26,4/28/26,1:00:00 PM,5:00:00 PM,4,800
Ali Lawrence,Circus Bella,Circus Bella-Brand Guidelines,Brand Guidelines,4/28/26,4/28/26,9:00:00 AM,1:00:00 PM,4,800
Ali Lawrence,Alameda Health System,Alameda Health System-Business Development/Executive Coaching,Business Development/Executive Coaching,4/28/26,4/28/26,1:00:00 PM,5:00:00 PM,4,800
Ariana Wolf,UC Merced,UC Merced-Visual Brand Identity,Visual Brand Identity,4/28/26,4/28/26,9:00:00 AM,1:00:00 PM,4,1000
Brittany Luby,UC Berkeley,UC Berkeley-Website Design,Website Design,4/28/26,4/28/26,9:00:00 AM,1:00:00 PM,4,600
Brittany Luby,UC Berkeley,UC Berkeley-Website Design,Website Design,4/28/26,4/28/26,1:00:00 PM,5:00:00 PM,4,600
Eliza Auseillo,SF Design Build,SF Design Build-Website Design,Website Design,4/28/26,4/28/26,9:00:00 AM,1:00:00 PM,4,400
Katrina McHugh,Bash Please,Bash Please-Visual Brand Identity,Visual Brand Identity,4/28/26,4/28/26,9:00:00 AM,1:00:00 PM,4,700
Katrina McHugh,Pt. Reyes Building Supply,Pt. Reyes Building Supply-Visual Brand Identity,Visual Brand Identity,4/28/26,4/28/26,1:00:00 PM,5:00:00 PM,4,700
Matt Meickle,Kentik,Kentik-Design System Application,Design System Application,4/28/26,4/28/26,9:00:00 AM,1:00:00 PM,4,700
Matt Meickle,UC Merced,UC Merced-Facilitation,Facilitation,4/28/26,4/28/26,1:00:00 PM,5:00:00 PM,4,700
Priscilla Vega,Amanda Hunt,Amanda Hunt-Book Design,Book Design,4/28/26,4/28/26,9:00:00 AM,1:00:00 PM,4,600
Priscilla Vega,UC Berkeley,UC Berkeley-Brand Guidelines,Brand Guidelines,4/28/26,4/28/26,1:00:00 PM,5:00:00 PM,4,600
Alexis Joseph,Pt. Reyes Building Supply,Pt. Reyes Building Supply-Website Design,Website Design,4/29/26,4/29/26,9:00:00 AM,1:00:00 PM,4,800
Ali Lawrence,Amanda Hunt,Amanda Hunt-Business Development/Executive Coaching,Business Development/Executive Coaching,4/29/26,4/29/26,9:00:00 AM,1:00:00 PM,4,800
Ali Lawrence,Pt. Reyes Building Supply,Pt. Reyes Building Supply-Visual Brand Identity,Visual Brand Identity,4/29/26,4/29/26,1:00:00 PM,5:00:00 PM,4,800
Ariana Wolf,UC Merced,UC Merced-Facilitation,Facilitation,4/29/26,4/29/26,9:00:00 AM,1:00:00 PM,4,1000
Ariana Wolf,Bash Please,Bash Please-Website Design,Website Design,4/29/26,4/29/26,1:00:00 PM,5:00:00 PM,4,1000
Brittany Luby,A5 Meat,A5 Meat-Website Design,Website Design,4/29/26,4/29/26,9:00:00 AM,1:00:00 PM,4,600
Brittany Luby,Circus Bella,Circus Bella-Website Design,Website Design,4/29/26,4/29/26,1:00:00 PM,5:00:00 PM,4,600
